"Title","Year","Developers","City","Country","URL","Description","Pictures","Documentation","Articles","Purpose","Open Source","Players","Location","Genre","Hardware","Connectivity","Contact"
"Frequency 1550","2005","The Waag Society","Amsterdam","Netherlands","https://waag.org/en/project/frequency-1550 (Frequency 1550)","Frequency 1550 was a mobile city game that used GPS and UMTS technology to let pupils of the secondary schools actively learn about history instead of passively absorb knowledge. The aim of Frequency 1550 was to bring the Middle Ages alive for pupils, within their history lessons.","https://waag.org/sites/waag/files/styles/carousel/public/Projects/frequentie_1550.jpg?itok=Mplqs_vU, http://www.gameclassification.com/files/games/Frequency-1550.jpg, http://iasl.uni-muenchen.de/links/TippSammel2_ill19.jpg, https://www.guerrilla-innovation.com/archives/frequency-1550.jpg","https://www.youtube.com/watch?v=wc3fviztQ_E","https://waag.org/en/project/frequency-1550 (Review, The Waag Society (2007)), https://doi.org/10.1016/j.chb.2010.12.013 (Admiraal, W., Huizenga, J., Akkerman, S., & Dam, G. t. (2011). The concept of flow in collaborative game-based learning. Computers in Human Behavior, 27(3), 1185-1194. doi:10.1016/j.chb.2010.12.013)","Research","N","single-player","site-specific","Location-based, Pervasive, Hybrid reality","Cell phone, Video phone, Computer","GPS, UMTS",""
"GPS Mission","2008","Orbster","Karlsruhe","Germany","website is no longer active","GPS mission is a mobile-app based game that makes use of the player's phone's GPS to track their location as they move about a city. To play, players must accept a challenge, which directs them to go to a particular location. At this particular location, they may collect virtual gold. Alternatively, they may be asked to interact with the place in a particular way; for instance, some users are asked to solve riddles. Additionally, the app allows users to drop ""waymarks"" to show where they have been; they can also upload photos to show where they have been.","https://i.pinimg.com/564x/16/b9/8a/16b98a19c58fb6e7d5e774fd44352f51.jpg, http://1.bp.blogspot.com/_LIZ1CsppGi0/SmMfh7FokII/AAAAAAAAGlY/CVjIOnTLjnk/s640/gpsgame00.jpg, https://www.intomobile.com/wp-content/uploads/2009/01/gps-mission-iphone.jpg","https://www.youtube.com/watch?v=TohZfmFpznE","https://appscout.pcmag.com/mobile-apps/274009-orbster-gps-mission-for-the-iphone (Report, PCMag (2008)), https://www.intomobile.com/2009/01/15/orbsters-gps-mission-iphone-game-makes-the-world-your-oyster/ (Review, Intomobile (2009)), https://link.springer.com/chapter/10.1007/978-3-319-75256-3_2 (Spallazzo D., Mariani I. (2018) LBMG in a Nutshell. In: Location-Based Mobile Games. SpringerBriefs in Applied Sciences and Technology. Springer, Cham. https://doi.org/10.1007/978-3-319-75256-3_2)","Entertainment","N","single-player","site-specific","Pervasive, Location-based","Cell phone, Camera phone","3G, GPS, Wi-Fi",""
"GPS::Tron","2004","Thomas Winkler","Hartberg","Austria","https://web.archive.org/web/20060829235558/http://gps-tron.datenmafia.org/#","GPS::Tron is a multiplayer game for java-enabled mobile phones that are based on a variation on the arcade classic. Tron players move in real space; and GPS is used to track and locate users. GPS::Tron utilizes a cell phone that is connected—via Bluetooth—to an external GPS receiver. This racing game sets two players side-by-side on a digital grid, each driving a different colored vehicle. The players begin driving forward, leaving in their path a digital trail of their vehicle’s color. This trail forms a wall that neither player can cross again, thus making the goal of the game to trap the other player within the digital walls created by the vehicles. Players can pick bonus materials that allow them to get shields and breakthrough a trail left by opponents.The vehicles, however, do not necessarily need to be physically next to each other for the game to work. One player can begin the game on the streets of Los Angeles while the opponent begins the game on the streets of Sydney. Their locations are mapped onto the digital representation of their vehicles on the GPS interface, allowing players from around the globe to compete with each other.","https://www.researchgate.net/profile/Jason_Farman/publication/288316162/figure/fig1/AS:466740988649472@1488291131964/A-Bluetooth-enabled-feature-phone-running-GPSTron-The-two-players-leave-traces-red.png, https://i1.wp.com/www.we-make-money-not-art.com/yyy/gps-foto-spielflaeche%5B1%5D.jpg?w=940, https://web.archive.org/web/20060828111457im_/http://gps-tron.datenmafia.org/images/PICT0395-klein.jpg, https://web.archive.org/web/20060828111457im_/http://gps-tron.datenmafia.org/images/siemens-wiese-small.jpg, https://web.archive.org/web/20060828111457im_/http://gps-tron.datenmafia.org/images//einstellungen.JPG","","https://ojs.library.queensu.ca/index.php/surveillance-and-society/article/view/misuse/misuses (Farman, J. (2014). Creative misuse as resistance: Surveillance, mobile technologies, and locative games. Surveillance & Society, 12(3), 377-388. doi:10.24908/ss.v12i3.4981), https://dl.acm.org/doi/abs/10.1145/1111293.1111302 (Rashid, O., Mullins, I., Coulton, P., & Edwards, R. (2006). Extending cyberspace: Location based games using cellular phones. Computers in Entertainment (CIE), 4(1), 4-es. doi:10.1145/1111293.1111302), https://we-make-money-not-art.com/the_gps_applica/ (Report, We Make Money Not Art (2005)), https://locativelab.wordpress.com/2007/08/30/location-based-mobile-phone-games-overview/ (Report, Locative Lab (2007))","Entertainment","N","single-player","site-specific","Location-based, Hybrid reality","Cell phone, GPS device","Bluetooth, GPRS, UMTS",""
"Geko Smak","2004","Garmin","Kansas","United States","no active website","A rendition of the arcade/fair game ""whack-a-mole"" in which players must navigate, in the physical world, to the location of a virtual ""gecko"" in order to ""smack"" it (which gives the user points). The game relies on the Garmin Geko 201 device, which has this game and three others pre-loaded onto the device).","https://www.pocketgpsworld.com/reviews/geko/scrn_GekoSmak.gif, https://www.forbes.com/images/2003/03/11/tentech_178x350.jpg, https://static.garmincdn.com/en/products/010-00318-00/g/sc-03-lg.jpg","","https://www.forbes.com/2003/03/11/cx_ah_0311tentech.html#19c831402b27 (Article, Forbes (2003)), https://www.pocketgpsworld.com/garmingeko.php (Review, PocketGPSWorld (2003))","Entertainment","N","single-player","site-specific","Pervasive, Location-based, Hybrid reality","Cell phone, GPS device","GPS",""
"Geocaching","2000","Dave Ulmer","Beavercreek","United States","https://www.geocaching.com/play (Geocaching)","Geocaching is an outdoor activity, which involves players finding clues and GPS coordinates online and, then, seeking out a ""cache"" based on the clues and coordinates. The object of Geocaching is to decode the clues and coordinates to find the cache. Upon finding the cache, players typically sign their name to a log and, in some cases, leave objects behind (known as treasures or swag) which can be traded with other players who find the cache. Additionally, some caches contain ""trackables,"" which are objects that contain unique identifiers. Players can collect trackables and move them to another cache in a different location; players who find trackables use the unique identifier to update their location, so that others can track their movement over time.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/The_location_of_the_first_Geocache%2C_east_of_Portland.gif/1920px-The_location_of_the_first_Geocache%2C_east_of_Portland.gif, https://www.geocaching.com/play/Content/images/preview-lg.jpg, https://bloximages.chicago2.vip.townnews.com/homenewshere.com/content/tncms/assets/v3/editorial/c/34/c3449de0-4177-11e7-8a39-c7f086a149bd/5927223e23062.image.jpg","https://www.youtube.com/watch?v=vuFiLhhCNww, https://www.youtube.com/watch?v=K-4q6sYuyfY","http://homenewshere.com/tewksbury_town_crier/news/article_451acdea-4177-11e7-b5d7-8398b83c1a45.html (Article, Tewksbury Town Crier (2017)), https://link.springer.com/article/10.1007/s00779-011-0497-7 (Neustaedter, C., Tang, A. & Judge, T.K. Creating scalable location-based games: lessons from Geocaching. Pers Ubiquit Comput 17, 335–349 (2013). https://doi.org/10.1007/s00779-011-0497-7), https://www.wsj.com/articles/want-a-modern-day-treasure-hunt-try-geocaching-1526566932 (Article, The Wall Street Journal (2018))","Entertainment","N","single-player","site-specific","Location-based","Cell phone, GPS device","",""
"Geodashing","2001","GPSGames","Chicago","United States","http://geodashing.gpsgames.org/ (Geodashing - Getting There is All the Fun)","Geodashing involves players, across the world, racing to see who can visit the most number of dash points before a specific deadline. Dash points are specific locations that are randomly selected by computer algorithm and can be located anywhere. The objective of the game is for players to gain points for each place visited. Although there is no ""winner,"" competition exists by seeing who can accumulate the most points. Unlike a similar game, Geocaching, there is no logbook, cache, or swag at a particular location. Players can play individual or in teams of people up to five.","https://exploringoffthebeatenpath.files.wordpress.com/2012/04/arizonageodash2.jpg, https://photos.google.com/share/AF1QipN_nGFT4qWwpp7_9SMZJp936X0ciAY0hZKLmCaB195HROqCXcSDBsnikBAQc6zLJg/photo/AF1QipPsYmfHopI8hlxLEQbWTknN-fkzp9PGuLH-Q3V4?key=dU5yTm1fa29TSWtNS2RNMmZZa2E3NWpCcUhaLWJ3, https://photos.google.com/share/AF1QipN_nGFT4qWwpp7_9SMZJp936X0ciAY0hZKLmCaB195HROqCXcSDBsnikBAQc6zLJg/photo/AF1QipNnvS_EP_ubwHpWjOg3QXf2KyJmwrjHofLJvTe7?key=dU5yTm1fa29TSWtNS2RNMmZZa2E3NWpCcUhaLWJ3","https://www.youtube.com/watch?v=wHjQ2MGNy6k","https://moreexploringoffthebeatenpath.com/2012/04/30/give-geodashing-a-try/ (Review, More Exploring Off the Beaten Path (2012)), http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.530.8727&rep=rep1&type=pdf (Li, M., O'Grady, M., & O'Hare, G.M. (2008). Geo-Gaming: The Mobile Monopoly Experience. WEBIST)","Entertainment","N","single-player","site-specific","Location-based","Cell phone, GPS device","",""
"Go Game Classic","2001","Wink Back Incorporated","San Francisco","United States","https://www.thegogame.com/team-building-activities/classic-go-game (Go Game Classic)","The Go Game is an urban adventure game played on mobile phones. Teams of 4-8 people are equipped with a map, digital camera, and phone, on which they receive 'missions' to complete throughout the game. These messages ask players to solve a riddle, visit a local landmark, create a photo or video masterpiece, or interact with a Go Game secret agent. After the game, teams get together at a pub and watch the photos and videos on a big screen. They vote via mobile phone on which team is the funniest, the most daring, or who took off the most clothes – it's up to the audience! The half-day events are a natural fit for corporate team building, marketing new products, innovative trainings and pure fun.","https://www.thegogame.com/hubfs/assets/images/the-go-game-logo.svg, https://www.thegogame.com/hubfs/1Website/nyc4.jpg, https://www.thegogame.com/hubfs/nyc7_team.jpg, https://www.thegogame.com/hubfs/1Website/gogameclassic_sm.jpg","https://www.youtube.com/watch?v=B-StigW9UDU, https://www.youtube.com/watch?v=L3QsBZ8BhHc, https://www.youtube.com/watch?v=vJDPTL6BL2U","https://www.theguardian.com/technology/gamesblog/2009/may/13/the-go-game-london-pervasive-gaming (Article, The Guardian (2009)), https://thenextweb.com/insider/2011/08/10/meet-the-go-game-the-godfathers-of-geo/ (Article, The Next Web (2011)), https://www.avantgame.com/MCGONIGAL%20A%20Real%20Little%20Game%20DiGRA%202003.pdf (McGonigal J (2003) A real little game: the pinocchio effect in pervasive play. In: Marinka C, Joost R (eds) Level up conference proceedings: proceedings of the 2003 digital games research association conference. CD ROM. University of Utrecht, Utrecht), https://gigaom.com/2011/07/11/the-go-game-app-team-building-though-mobile-games/ (Review, GigaOm (2011))","Entertainment","N","single-player","site-specific","Location-based, Pervasive, Urban","Cell phone, Digital camera","GPRS",""
"I like Frank","2004","Blast Theory, Mixed Reality Lab (University of Nottingham)","Adelaide","Australia","https://www.blasttheory.co.uk/projects/i-like-frank/ (I Like Frank | Blast Theory)","Online players use a virtual map to navigate the city of Adelaide to find and open photos in specific locations. One of the potential photos that they can open offers the location of a hidden object. Once the hidden object is uncovered, the online player must ask a player in the physical world to navigate to that hidden object. Once a player in the physical world agrees to go find the hidden object, the physical world player begins receiving messages about a character ""Frank"" and his journey with the game's creator, which mirrors the journey that the physical world player is currently on. Upon finding the hidden object (a postcard with a question), the physical world player then directs the question that is on the postcard to the online player.","https://pbs.twimg.com/media/DlCnLq_WwAYMezu?format=jpg&name=small, https://www.blasttheory.co.uk/wp-content/uploads/2013/09/press_ilf_1-800x1194.jpg, https://www.blasttheory.co.uk/wp-content/uploads/2013/09/press_ilf_2-800x535.jpg","https://www.youtube.com/watch?v=Ve7L0bKVEsw","http://eleven.fibreculturejournal.org/fcj-073-technology-transfer-present-and-futures-in-the-electronic-arts/ (Degger, B. (2008). Technology transfer present and futures in the electronic arts. Fibreculture Journal, (11)), https://www.blasttheory.co.uk/wp-content/uploads/2016/07/Review_ILF_Visual-Arts-Culture-Broadsheet_Volume33-No1-02-03-2004.pdf (Review, Contemporary Visual Arts + Culture Broadsheet (2004)), https://www.blasttheory.co.uk/wp-content/uploads/2016/07/Review_ILF_British-Council-Australia_-2003.pdf (Review, British Council Australia (2003))","Art","N","single-player","site-specific","Pervasive, Location-based","Cell phone, GPS device","",""
"Memory Race","2004","Garmin","Kansas","United States","no website for the game, only for the device: https://buy.garmin.com/en-US/US/p/220#specs (Geko 201)","A classic game of ""matching pairs by memory"" through a GPS interface. The GPS interface is divided into tiles. To ""flip"" a tile and find matching tiles, the player must navigate in space to the position of the tile. Once a tile is flipped, the player then moves through space to flip another tile with the hope that both flipped tiles match one another. The game continues until the player has successfully matched all tiles, which constitutes a win.","https://www.pocketgpsworld.com/reviews/geko/scrn_MemoryRace.gif, https://www.forbes.com/images/2003/03/11/tentech_178x350.jpg, https://static.garmincdn.com/en/products/010-00318-00/g/sc-03-lg.jpg","","https://www.pocketgpsworld.com/garmingeko.php (Review, PocketGPSWorld (2003))","Entertainment","N","single-player","site-specific","Location-based, Hybrid reality","Garmin Geko 202","GPS",""
"Mogi","2003","NewtGames","Tokyo","Japan","No website for game currently exists","MOGI is a Japanese hybrid reality game. MOGI’s goal is to collect location-based virtual objects and creatures around the city of Tokyo with the cell phone. Players may also see other nearby players on the radar of their cell phone screen and exchange virtual objects. Online players may also guide street players to find specific items for their collections.","https://dasbox.be/assets/encyclopedie/mogi_site.jpg, http://www.links.net//daze/04/04/pix/centre-tokyo-ty.jpg, https://pervasivegames.files.wordpress.com/2009/05/mogiweb1.jpg","","http://www.links.net/share/write/thefeature/Mogi__Second_Generation_Location-Based_Gaming.html (Article, TheFeature (2004)), https://pdfs.semanticscholar.org/fe6c/42ffbb2d7cbade82189171ae009ed2ff2206.pdf (Chan, D. (2008). Convergence, Connectivity, and the Case of Japanese Mobile Gaming. Games and Culture, 3, 13 - 25), https://www.tandfonline.com/doi/abs/10.1080/10630730802677905?journalCode=cjut20 (Licoppe, C., & Inada, Y. (2008). Geolocalized technologies, location-aware communities, and personal territories: The mogi case. The Journal of Urban Technology, 15(3), 5-24. doi:10.1080/10630730802677905)","Entertainment","N","single-player","site-specific","Pervasive, Location-based, Hybrid reality","Cell phone, Computer","",""
"NavBall","2008","The Saints Content Creators","Amsterdam","Netherlands","https://navball.wordpress.com/the-game/ (NavBall)","NavBall is a multiplayer game that used GPS phones to create an action-packed 45-minute match across the city of Amsterdam. It features 2 teams of 11 players each that will attempt to score as many goals. The “ball” and “goal” are placed on a map of Amsterdam and the players have to get into formation to kick the “ball” at the right angle and speed to make a goal. The players have to move around the city with their GPS enabled phones in order to achieve this.","https://navball.files.wordpress.com/2007/09/flyer-front.jpg, https://navball.files.wordpress.com/2007/09/flyer-back.jpg","https://navball.wordpress.com/","https://geosmart.wordpress.com/2008/12/04/location-innovation-and-navball/ (Blog, GeoSmart (2008)), https://www.mediamatic.net/en/page/42404/navball-nl (Report, Mediamatic (2008))","Entertainment","N","single-player","site-specific","Location-based, Hybrid reality","Cell phone","GPS",""
"Nibbons","2004","Garmin","Kansas","United States","no website for the game, only for the device: https://buy.garmin.com/en-US/US/p/220#specs (Geko 201)","The game of ""Snake"" on a GPS interface which requires a player to physical navigate a space toward particular numbers; however, players cannot move to a place they have recently been and, thus, step on their ""tail"" which constitutes losing the game.","https://www.pocketgpsworld.com/reviews/geko/scrn_Nibbons.gif, https://www.forbes.com/images/2003/03/11/tentech_178x350.jpg, https://static.garmincdn.com/en/products/010-00318-00/g/sc-03-lg.jpg","","https://www.pocketgpsworld.com/garmingeko.php (Review, PocketGPSWorld (2003))","Entertainment","N","single-player","site-specific","Location-based, Hybrid reality","Garmin Geko 202","GPS",""
"Noderunner","2003","Yury Gitman, Carlos J. Gomez de Llarena","New York","United States","http://med44.com/v2/noderunner.php (Node Runner)","In Noderunner, the cityscape of Manhattan is reterritorialized into hot and cold spots—determined by access to the Internet. The aim of the game, in which two teams are pitted against each other, is to access and document (via camera phones) as many of the wireless Internet nodes as possible while attempting to get from Bryant Park in midtown to Bowling Green in Lower Manhattan. Teams are given a Wi-Fi-enabled laptop, a digital camera, taxi fare, and 2 hours. Points are obtained by taking camera phone pictures of themselves in the exact spot at which they connected to the wireless Internet; they are also awarded points for using scanning software to find the nodes on their journey.","http://med44.com/v2/img/noderunner-01.jpg, http://med44.com/v2/img/noderunner-04.jpg, http://med44.com/v2/img/noderunner-02.jpg","https://www.youtube.com/watch?v=RMAaCdJw3A8&feature=emb_title","https://www.nytimes.com/2003/11/09/arts/art-digital-art-s-year-round-summer-camp.html (Article, The New York Times (2003)), https://journals-sagepub-com.prox.lib.ncsu.edu/doi/abs/10.1177/1046878109333723#articleCitationDownloadContainer (de Souza e Silva, Adriana, & Hjorth, L. (2009). Playful urban spaces: A historical approach to mobile games. Simulation & Gaming, 40(5), 602-625. doi:10.1177/1046878109333723), https://dl-acm-org.prox.lib.ncsu.edu/doi/10.1145/1178477.1178533 (Chalmers, M., Bell, M., Brown, B., Hall, M., Sherwood, S., & Tennent, P. (2005). Gaming on the edge: Using seams in ubicomp games. Paper presented at the 306-309. doi:10.1145/1178477.1178533), https://link-springer-com.prox.lib.ncsu.edu/chapter/10.1007%2F978-3-319-46152-6_18 (Oppermann L., Slussareff M. (2016) Pervasive Games. In: Dörner R., Göbel S., Kickmeier-Rust M., Masuch M., Zweig K. (eds) Entertainment Computing and Serious Games. Lecture Notes in Computer Science, vol 9970. Springer, Cham. https://doi-org.prox.lib.ncsu.edu/10.1007/978-3-319-46152-6_18), http://iasl.uni-muenchen.de/links/NAPGe.html#54 (Article, IASL (2008))","Art","N","single-player","site-specific","Location-based, Urban","Cell phone, Computer, Digital camera, Camera phone","Wi-Fi",""
"PAC-LAN","2005","Mobile Radicals","Lancaster","United Kingdom","https://www.pac-lan.com/index.htm (PAC-LAN | Home)","A location-based version of Pac-Man, in which PacMan players and Ghosts are equipped with Nokia phones that have an RFID tag embedded in the shell of the phone. Both Pac-Man and Ghost Players move around a physical space to collect pills (discs with RFID tags). However, ghosts can also collect pills which give them points and allow them to know the last position of the Pac-Man players. If the Pac-Man player collects a ""power pill,"" then the Pac-Man player can kill ghosts, which forces them to return to the central location of the maze.","https://www.researchgate.net/profile/Paul_Coulton/publication/220061061/figure/fig6/AS:325286571855878@1454565770982/PAC-LAN-trial-team-for-10th-of-February_W640.jpg, https://www.researchgate.net/profile/Bruno_Feijo/publication/258127233/figure/fig8/AS:297532849704972@1447948767477/PAC-LAN-players-The-PAC-LAN-character-left-and-a-ghost-player-left-Rashid-et-al_W640.jpg, http://imagination.lancaster.ac.uk/wp-content/uploads/2020/01/paclan_dsc02172-225x300.jpg","https://www.pac-lan.com/media.htm, https://imagination.lancaster.ac.uk/project/pac-lan/","https://ieeexplore-ieee-org.prox.lib.ncsu.edu/document/1598509 (O. Rashid, P. Coulton, R. Edwards and W. Bamford, ""Utilising RFID for mixed reality mobile games,"" 2006 Digest of Technical Papers International Conference on Consumer Electronics, Las Vegas, NV, 2006, pp. 459-460, doi: 10.1109/ICCE.2006.1598509), https://dl.acm.org/doi/10.1145/1178823.1178864 (Rashid, O., Bamford, W., Coulton, P., & Edwards, R. (2006). PAC-LAN: The human arcade. Paper presented at the 33-es. doi:10.1145/1178823.1178864)","Research","N","single-player","site-specific","Location-based","Cell phone, RFID tags","RFID",""
"PacManhattan","2004","NYU Interactive Telecommunications Program","New York","United States","http://www.pacmanhattan.com/ (Pac Manhattan)","PacManhattan consisted of Pac Man game play within the actual streets of Manhattan—a person dressed as Pac Man (wearing yellow) tried to avoid being “eaten” by other people dressed in various primary colors and simultaneously eat the virtual dots on the streets. In a remote location, players in a control room in constant contact with street players via cell phones update the street player’s physical position on a digital map of the city. The only way for the street players to know which dots have already been eaten is by talking to his or her controller.","https://avoision.com/portnoy/images/2004/may/pacmanhattan.jpg, http://live.staticflickr.com/28/43274965_40999fe113_c.jpg, http://live.staticflickr.com/29/43274944_9d3f9c9012_c.jpg, http://live.staticflickr.com/28/43274869_1b01eccfd1_c.jpg","https://youtu.be/ci1FGyTTwO0","https://journals-sagepub-com.prox.lib.ncsu.edu/doi/abs/10.1177/1046878109333723#articleCitationDownloadContainer (de Souza e Silva, Adriana, & Hjorth, L. (2009). Playful urban spaces: A historical approach to mobile games. Simulation & Gaming, 40(5), 602-625. doi:10.1177/1046878109333723), https://journals-sagepub-com.prox.lib.ncsu.edu/doi/abs/10.1177/1206331204269435 (Galloway, A. (2004). Postcard From the Urban Frontier. Space and Culture, 7(4), 446–449. https://doi.org/10.1177/1206331204269435), https://www.nytimes.com/2004/05/09/style/quick-after-him-pac-man-went-thataway.html (Article, The New York Times (2004)), https://ebookcentral.proquest.com/lib/ncsu/detail.action?docID=534907 (Montola, M., Stenros, J., & Waern, A. (2009). Pervasive games : Theory and design. ProQuest Ebook Central https://ebookcentral.proquest.com)","Entertainment, Research","N","single-player","site-specific","Location-based, Hybrid reality","Cell phone, Computer","Wi-Fi, GPRS",""
"Parallel Kingdom","2008","PerBlue","Madison","United States","https://perblue.com/Games/ParallelKingdom.aspx (PerBlue - Parallel Kingdom)","Parallel Kingdom uses GPS and a mobile app (on iOS and Android platforms) to allow users to create virtual domains of physical places. The object of the game is to dominate or take ownership of physical spaces. To do so, players can play individually or in teams. Gameplay involves locating resources and dueling other players to achieve ownership of a place.","https://perblue.com/images/games/Parallel-Kingdom-Header.jpg, https://perblue.com/images/games/screenshots/PK-4.jpg, https://perblue.com/images/games/screenshots/PK-5.jpg, https://perblue.com/images/games/screenshots/PK-2.jpg, https://perblue.com/images/games/screenshots/PK-6.jpg, https://perblue.com/images/games/screenshots/PK-1.jpg, https://perblue.com/images/games/screenshots/PK-3.jpg","https://www.youtube.com/watch?v=ahvJbpJBG2g","","Entertainment","N","single-player","site-specific","Pervasive, Location-based, Hybrid reality","","",""
"REXplorer","2007","Rafael Ballagas, Steffen P. Walz, Regensburg Experience Museum","Regensburg","Germany","http://wiki.museummobile.info/museums-to-go/products-services/rexplorer","REXplorer is a mobile, pervasive spell-casting game designed for tourists of Regensburg, Germany. The game creates player encounters with spirits (historical figures) that are associated with significant buildings in an urban setting. A novel mobile interaction mechanism of “casting a spell” (making a gesture by waving a mobile phone through the air) allows the player to awaken and communicate with a spirit to continue playing the game. The game is designed to inform visitors about history in a fun manner.","https://www.researchgate.net/profile/Steffen_Walz/publication/250858468/figure/fig6/AS:668759207469075@1536456028601/Playability-testers-enjoying-the-game-of-REXplorer-on-site-Regensburg_W640.jpg, https://www.researchgate.net/profile/Steffen_Walz/publication/250858468/figure/fig3/AS:298169784127503@1448100624922/Buildings-and-locations-with-paranormal-activity-on-the-letterfold-brochure-map-back_W640.jpg, https://www.researchgate.net/profile/Steffen_Walz/publication/250858468/figure/fig5/AS:298169788321796@1448100625181/Individual-souvenir-geo-weblog_W640.jpg","https://www.youtube.com/watch?v=zuefBtnQGWg","https://link-springer-com.prox.lib.ncsu.edu/chapter/10.1007%2F978-3-540-79576-6_15 (Ballagas, R., Kuntze, A., & Walz, S. P.Gaming tourism: Lessons from evaluating REXplorer, a pervasive game for tourists. (pp. 244-261). Berlin, Heidelberg: Springer Berlin Heidelberg. doi:10.1007/978-3-540-79576-6_15), http://wiki.museummobile.info/museums-to-go/products-services/rexplorer (Overview, MuseumMobile Wiki), https://dl-acm-org.prox.lib.ncsu.edu/doi/pdf/10.1145/1240866.1240927 (Ballagas et al. (2007). REXplorer: A mobile, pervasive spell-casting game for tourists. Paper presented at the 1929-1934. doi:10.1145/1240866.1240927), https://ieeexplore-ieee-org.prox.lib.ncsu.edu/document/9047024 (Bakhsheshi, F. F., & Ghaziani, G. (2019). Tourism based games: A study of challenges and profits. Paper presented at the 30-37. doi:10.1109/ISGS49501.2019.9047024), https://ebookcentral.proquest.com/lib/ncsu/detail.action?docID=534907 (“Tico” Ballagas, R., & Walz, S. P.case k - rexplorer. (pp. 215-218) Elsevier Science & Technology. doi:10.1016/B978-0-12-374853-9.00024-6)","Entertainment, Research, Tourism","N","single-player","site-specific","Pervasive, Location-based, Hybrid reality","Cell phone, GPS device","GPS",""
"RayGun","2005","GloVentures LLC","Seattle","United States","No active website for game currently exists","RayGun is a commercial product that runs on a GPS-equipped mobile phone. The players have a radar-like view on their phones’ displays. The “radar” shows the location of virtual ghosts. Players then try to shoot ghosts by moving in their direction. The faster a player moves, the more powerful the shot. The energy of a shot “annoys” ghosts, and a player can expect more ghosts after shooting one. In RayGun, each player has only limited access to the virtual game world, and the level of immersion in the game depends on the player’s imagination.","http://www.happytoast.com/glofun/images/RayGun_WebArt.jpg, http://www.happytoast.com/glofun/images/RayGun_Screenshot1.png, http://www.happytoast.com/glofun/images/RayGun_Screenshot2.png, http://www.happytoast.com/glofun/images/RayGun_Screenshot3.png","","http://www.happytoast.com/glofun/Glofun_RayGun.html (Overview, HappyToast (2007)), https://dl.acm.org/doi/abs/10.1145/1111293.1111302 (Rashid, O., Mullins, I., Coulton, P., & Edwards, R. (2006). Extending cyberspace: Location based games using cellular phones. Computers in Entertainment (CIE), 4(1), 4-es. doi:10.1145/1111293.1111302), http://prweb.com/releases/2004/12/prweb183725.htm (Press release, Cision PRWeb (2004)), http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.558.3217&rep=rep1&type=pdf (Peltola, J., & Karsten, H. (2008). When play is not enough: Towards actually useful applications for digital entertainment), https://ieeexplore-ieee-org.prox.lib.ncsu.edu/document/1572367 (D. Kushner, ""Location, location, location [location-based games],"" in IEEE Spectrum, vol. 43, no. 1, pp. 62-67, Jan. 2006, doi: 10.1109/MSPEC.2006.1572367)","Entertainment","N","single-player","site-specific","Hybrid reality, Pervasive, Location-based","Cell phone, PDA","GPS",""
"SCOOT","2006","Queensland University of Technology","Melbourne","Australia","No active website for game currently exists","SCOOT is an SMS treasure hunt that employs web, mobile devices and public displays as tools of play to guide groups through unique public places. Simply, players must seek out mystery objects that are hidden in a public place. Along the way they participate in activities and solve clues by seeking out facts about the sites. The game intentionally requires experience in game play as well as the ability to identify and interpret cultural information.","http://live.staticflickr.com/89/249671110_8b12e01c57_b.jpg, http://live.staticflickr.com/95/249670999_01a49e291f_b.jpg, http://live.staticflickr.com/84/249669574_3061a22a36_b.jpg, http://live.staticflickr.com/86/249687911_f6322663ea_b.jpg, http://live.staticflickr.com/86/249727758_061dfee5b1_b.jpg","https://www.youtube.com/watch?v=JvfL-D1IGNY, http://debpolson.com.au/scoot/, https://www.flickr.com/photos/scootgame/collections/72157600106496481/","https://dl.acm.org/doi/abs/10.1145/1378063.1378190 (Polson, D., & Morgan, C. (2007). Now everything looks like a game: Mobile phones and location-based games. Paper presented at the 751-754. doi:10.1145/1378063.1378190), https://eprints.qut.edu.au/26094/ (Polson, Debra & Morgan, Colleen (2007) MILK : the Mobile Informal Learning Kit. Collaborating to design successful mobile learning applications. In IADIS Mobile Learning 2007 International Conference, 2007-07-05 - 2007-07-07), https://eprints.qut.edu.au/31764/ (Polson, Debra & Morgan, Colleen (2010) The 10% rule: Maximising learning through collaborative game design. In Isaias, P & Sanchez, I A (Eds.)","Research","N","single-player","site-specific","Location-based, Hybrid reality","Cell phone, Computer","GPS, 3G",""
